final_rank,fips,county_name,state,final_risk_score,final_risk_tier,risk_quadrant,probability_score,probability_tier,impact_score,impact_tier,infrastructure_vulnerability_score,infrastructure_tier,predicted_risk_score,predicted_risk_tier,risk_direction,risk_change,trajectory,predicted_gdp_impact_pct,prediction_ci_low,prediction_ci_high,confidence_flag,top_shap_driver,shap_breakdown,industry_source,top_industries,total_gdp_m,wui_housing_fraction,wui_data_available,predicted_gdp_loss_m,estimated_loss_m,total_loss_low_m,total_loss_high_m,estimated_wage_loss_m,is_rural,population_density,rural_industry_source,rural_gdp_data_quality,rural_training_coverage,rural_prediction_confidence
1,49037,San Juan County,UT,1.0000000000000002,,High Probability / High Impact,0.7836321222811545,Critical,0.5519803152662612,High,0.8454698474862373,Critical,1.0,Critical,→ Stable,-2.220446049250313e-16,Resilient,-13.316160202026367,-14.146160202026367,-12.486160202026367,Medium,private_well_proxy_pct ↓ (-1.502),private_well_proxy_pct: -1.502  |  gdp_per_capita: -1.433  |  water_vulnerability_score: -0.621  |  drought_weeks_before: +0.360  |  wage_base_m: -0.228  |  unemployment_rate: +0.160  |  industry_sensitivity: +0.124  |  fire_frequency: +0.083,FOIA,RV (Recreational Vehicle) Parks and Campgrounds | Hotels (except Casino Hotels) and Motels | Pharmacies and Drug Stores,1251.49,0.5673164510839862,True,94.54352105203608,236.3588026300902,207.9957463144794,264.721858945701,50.108066157579124,True,1.848751847735713,FOIA,surveyed,1,low
2,49017,Garfield County,UT,0.9802495230900721,Critical,High Probability / High Impact,0.7162895875526436,High,0.5971505844587834,High,0.813220117392763,Critical,0.9803474056609967,Critical,→ Stable,9.788257092457897e-05,Resilient,-9.142008781433105,-9.972008781433106,-8.312008781433105,Medium,drought_weeks_before ↑ (+1.673),drought_weeks_before: +1.673  |  gdp_per_capita: -1.188  |  unemployment_rate: +0.417  |  wage_base_m: +0.149  |  private_well_proxy_pct: +0.054  |  water_vulnerability_score: -0.041  |  industry_sensitivity: +0.032  |  fire_frequency: +0.022,FOIA,RV (Recreational Vehicle) Parks and Campgrounds | All Other Traveler Accommodation | Commercial Gravure Printing,462.6825,0.8114824335904027,True,34.324469251761826,85.81117312940457,75.51383235387603,96.1085139049331,18.19196870343377,True,0.9995065214083988,FOIA,surveyed,1,low
3,35006,Cibola County,NM,0.9649305297475852,Critical,High Probability / High Impact,0.7761694035873761,Critical,0.553863620762514,High,0.737718789350536,Vulnerable,0.9649302720080231,Critical,→ Stable,-2.5773956213726024e-07,Resilient,-10.89367961883545,-11.72367961883545,-10.06367961883545,Medium,private_well_proxy_pct ↓ (-1.002),private_well_proxy_pct: -1.002  |  gdp_per_capita: -0.806  |  unemployment_rate: +0.533  |  fire_frequency: +0.361  |  drought_weeks_before: +0.276  |  industry_sensitivity: +0.149  |  water_vulnerability_score: -0.137  |  wage_base_m: -0.009,FOIA,"Hotels (except Casino Hotels) and Motels | Soil Preparation, Planting, and Cultivating | Pharmacies and Drug Stores",1854.3,0.8386341111811875,True,169.40534939270094,423.51337348175235,372.6917686639421,474.3349782995626,89.7848351781315,True,5.929227944415662,FOIA,surveyed,4,medium
4,35011,DeBaca County,NM,0.9606172503187972,Critical,High Probability / High Impact,0.6846990781726955,High,0.6221777242937794,High,0.7543091673497898,Critical,0.9607400306255368,Critical,→ Stable,0.0001227803067396227,At Risk,-9.58510971069336,-10.41510971069336,-8.75510971069336,Medium,industry_sensitivity ↑ (+1.087),industry_sensitivity: +1.087  |  wage_base_m: +0.838  |  private_well_proxy_pct: -0.459  |  water_vulnerability_score: -0.391  |  gdp_per_capita: -0.332  |  drought_weeks_before: +0.270  |  fire_frequency: -0.238  |  unemployment_rate: -0.102,FOIA,Hotels (except Casino Hotels) and Motels,115.9025,0.7457777777777778,True,8.285130058190324,20.71282514547581,18.227286128018715,23.198364162932908,4.3911189308408725,True,0.725838284676513,FOIA,surveyed,0,low
5,49031,Piute County,UT,0.9231183219579254,Critical,High Probability / High Impact,0.6218580442494376,High,0.6733054542699873,High,0.6738859730310552,Vulnerable,0.9232394069301703,Critical,→ Stable,0.00012108497224483372,At Risk,-9.207859992980957,-10.037859992980957,-8.377859992980957,Medium,drought_weeks_before ↑ (+1.341),drought_weeks_before: +1.341  |  gdp_per_capita: -1.212  |  private_well_proxy_pct: +0.634  |  unemployment_rate: +0.282  |  wage_base_m: +0.200  |  fire_frequency: -0.158  |  industry_sensitivity: -0.074  |  water_vulnerability_score: +0.038,FOIA,All Other Amusement and Recreation Industries | Other Motor Vehicle Parts Manufacturing,134.46,0.7169811320754716,True,8.876863486214404,22.19215871553601,19.52909966967169,24.85521776140033,4.7047376476936345,True,1.9546036058611729,FOIA,surveyed,0,low
6,35045,San Juan County,NM,0.9178269560628997,Critical,High Probability / High Impact,0.7702974816212005,Critical,0.5339976285111193,High,0.7164948516070434,Vulnerable,0.9173588664166366,Critical,→ Stable,-0.00046808964626310345,Resilient,-10.367921829223633,-11.197921829223633,-9.537921829223633,Medium,gdp_per_capita ↓ (-0.946),gdp_per_capita: -0.946  |  fire_frequency: +0.757  |  industry_sensitivity: +0.311  |  private_well_proxy_pct: -0.310  |  unemployment_rate: +0.146  |  drought_weeks_before: +0.144  |  wage_base_m: -0.112  |  water_vulnerability_score: -0.099,FOIA,Hotels (except Casino Hotels) and Motels | Support Activities for Oil and Gas Operations | Lessors of Miniwarehouses and Self-Storage Units,8383.835,0.8755026809651475,True,761.0127218081353,1902.5318045203385,1674.2279879778978,2130.835621062779,403.33674255831176,True,21.95173231794494,FOIA,surveyed,3,medium
7,49055,Wayne County,UT,0.9014792978515667,Critical,High Probability / High Impact,0.6965996530052441,High,0.561823703963235,High,0.8319596116734757,Critical,0.9015936412637028,Critical,→ Stable,0.00011434341213611976,At Risk,-10.148024559020996,-10.978024559020996,-9.318024559020996,Medium,gdp_per_capita ↓ (-1.538),gdp_per_capita: -1.538  |  drought_weeks_before: +1.381  |  water_vulnerability_score: -0.310  |  wage_base_m: +0.299  |  unemployment_rate: +0.290  |  fire_frequency: -0.102  |  private_well_proxy_pct: +0.096  |  industry_sensitivity: -0.005,FOIA,Hotels (except Casino Hotels) and Motels | Limited-Service Restaurants | Home Centers,227.3,0.7884386174016687,True,18.18648769092503,45.46621922731258,40.01027292003507,50.922165534590086,9.638838476190267,True,1.040269083586405,FOIA,surveyed,0,low
8,41037,Lake County,OR,0.8574525522502842,Critical,High Probability / High Impact,0.6853548142760498,High,0.5468817492975813,High,0.8068249019713267,Critical,0.8575460422038582,Critical,→ Stable,9.348995357405521e-05,Resilient,-11.236509323120117,-12.066509323120117,-10.406509323120117,Medium,gdp_per_capita ↓ (-0.829),gdp_per_capita: -0.829  |  water_vulnerability_score: -0.337  |  unemployment_rate: +0.328  |  drought_weeks_before: +0.190  |  fire_frequency: -0.179  |  private_well_proxy_pct: -0.088  |  industry_sensitivity: -0.044  |  wage_base_m: -0.018,FOIA,Painting and Wall Covering Contractors | Residential Remodelers | All Other Amusement and Recreation Industries,644.98,0.6221692491060786,True,45.09061996238354,112.72654990595885,99.1993639172438,126.25373589467391,23.89802858006328,True,1.0150136202619366,FOIA,surveyed,4,medium
9,48377,Presidio County,TX,0.84568138401623,Critical,High Probability / High Impact,0.631550842313544,High,0.5825624608732691,High,0.8242063727540356,Critical,0.8457790947146446,Critical,→ Stable,9.771069841457702e-05,Resilient,-11.126843452453613,-11.956843452453613,-10.296843452453613,Medium,gdp_per_capita ↓ (-1.197),gdp_per_capita: -1.197  |  drought_weeks_before: +1.115  |  water_vulnerability_score: -0.607  |  fire_frequency: +0.260  |  private_well_proxy_pct: -0.213  |  industry_sensitivity: -0.147  |  unemployment_rate: -0.105  |  wage_base_m: +0.026,FOIA,Full-Service Restaurants,520.715,0.9060738885410144,True,52.4971444911354,131.24286122783852,115.4937178804979,146.99200457517912,27.823486580301765,True,1.561350593943016,FOIA,surveyed,3,medium
10,35031,McKinley County,NM,0.8429389174411668,Critical,High Probability / Low Impact,0.7700736261448694,Critical,0.4920419608517526,Moderate,0.7058333677026958,Vulnerable,0.8427644514250421,Critical,→ Stable,-0.00017446601612469692,At Risk,-10.402400016784668,-11.232400016784668,-9.572400016784668,Medium,private_well_proxy_pct ↓ (-1.105),private_well_proxy_pct: -1.105  |  gdp_per_capita: -0.949  |  fire_frequency: +0.862  |  unemployment_rate: +0.478  |  wage_base_m: +0.328  |  drought_weeks_before: +0.256  |  industry_sensitivity: -0.031  |  water_vulnerability_score: +0.016,FOIA,"Hotels (except Casino Hotels) and Motels | Lessors of Miniwarehouses and Self-Storage Units | Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesaler",4789.67,0.8012930518418007,True,399.2367572751547,998.0918931878866,878.3208660053403,1117.862920370433,211.595481355832,True,13.06563269115901,FOIA,surveyed,0,low
11,41021,Gilliam County,OR,0.8259110845154227,Critical,High Probability / High Impact,0.6852554390330825,High,0.5544803151185107,High,0.6242001291314856,Vulnerable,0.8260332636420732,Critical,→ Stable,0.00012217912665046793,Resilient,-9.542896270751953,-10.372896270751953,-8.712896270751953,Medium,gdp_per_capita ↓ (-0.674),gdp_per_capita: -0.674  |  wage_base_m: +0.526  |  industry_sensitivity: +0.448  |  drought_weeks_before: +0.364  |  fire_frequency: -0.148  |  unemployment_rate: +0.107  |  private_well_proxy_pct: +0.067  |  water_vulnerability_score: +0.026,FOIA,Full-Service Restaurants,157.86,0.6885844748858447,True,10.373123017323115,25.93280754330779,22.820870638110854,29.04474444850472,5.497755199181252,True,1.671258324541533,FOIA,surveyed,3,medium
12,4005,Coconino County,AZ,0.8237544777714723,Critical,High Probability / High Impact,0.6986220308421455,High,0.525769777122242,High,0.7346572264434785,Vulnerable,0.8231645769646202,Critical,→ Stable,-0.0005899008068520617,Resilient,-14.339202880859375,-15.169202880859375,-13.509202880859375,Medium,private_well_proxy_pct ↓ (-2.104),private_well_proxy_pct: -2.104  |  gdp_per_capita: -0.909  |  wage_base_m: -0.439  |  fire_frequency: -0.352  |  water_vulnerability_score: -0.150  |  industry_sensitivity: -0.123  |  drought_weeks_before: -0.007  |  unemployment_rate: +0.004,FOIA,Hotels (except Casino Hotels) and Motels | Full-Service Restaurants | RV (Recreational Vehicle) Parks and Campgrounds,11056.2975,0.9283440412108585,True,1471.7826524534323,3679.4566311335807,3237.921835397551,4120.99142686961,780.0448058003192,True,7.761723912211812,FOIA,surveyed,65,high
13,35025,Lea County,NM,0.8157077091456737,Critical,High Probability / High Impact,0.5811655915184767,High,0.6381440731374463,High,0.6655003067201161,Vulnerable,0.8154885559447614,Critical,→ Stable,-0.00021915320091225876,At Risk,-10.112419128417969,-10.942419128417969,-9.282419128417969,Medium,gdp_per_capita ↓ (-0.979),gdp_per_capita: -0.979  |  drought_weeks_before: +0.548  |  water_vulnerability_score: +0.447  |  private_well_proxy_pct: +0.084  |  wage_base_m: +0.071  |  fire_frequency: +0.053  |  industry_sensitivity: -0.048  |  unemployment_rate: -0.030,FOIA,Support Activities for Oil and Gas Operations | Hotels (except Casino Hotels) and Motels | Rooming and Boarding Houses,5096.7825,0.8986404293381037,True,463.1664740102598,1157.9161850256494,1018.9662428225716,1296.8661272287272,245.4782312254377,True,16.75822123932496,FOIA,surveyed,0,low
