impact_rank,fips,county_name,state,impact_score,impact_tier,trajectory,causal_impact_score,avg_gdp_delta_pct,avg_counterfactual_gap,industry_sensitivity,industry_sensitivity_n,gdp_industry_sensitivity_n,blended_industry_sensitivity_n,industry_confidence,top_industries,dominant_sector,industry_source,economic_trajectory,decay_unem_rate,gdp_growth_trend,land_value_per_acre,nass_amplifier,nass_data_available,tot_share,tot_amplifier,tot_data_available
1,72117,,PR,0.7321626481879071,High,At Risk,0.411764705882353,,,0.8,0.823529411764706,,0.823529411764706,foia_only,Full-Service Restaurants,Tourism & Hospitality,FOIA,0.6896566546680637,11.310824152829474,,,1.0,False,,1.0,False
2,21105,,KY,0.772970221938992,High,At Risk,0.46585656551054205,,,0.95,1.0,0.8634262620421682,0.9317131310210841,high,Broilers and Other Meat Type,Agriculture & Forestry,FOIA,0.5577633277670847,4.990305023107467,4.297127819548873,5670.0,1.0762994836488813,True,,1.0,False
3,72079,,PR,0.708269161796215,High,At Risk,0.36383290040443234,,,0.7185159306875349,0.7276658008088647,,0.7276658008088647,foia_only,Limited-Service Restaurants | Hotels (except Casino Hotels) and Motels,Tourism & Hospitality,FOIA,0.7323643361624549,12.626106502598608,,,1.0,False,,1.0,False
4,72089,,PR,0.6929071476518478,High,At Risk,0.411764705882353,,,0.8,0.823529411764706,,0.823529411764706,foia_only,Full-Service Restaurants,Tourism & Hospitality,FOIA,0.6094287770141512,9.149284914904333,,,1.0,False,,1.0,False
5,48205,,TX,0.6967969246064402,High,At Risk,0.46502648604936897,,,0.8779365841940908,0.9152195108165775,0.9448864333808984,0.9300529720987379,high,Other Vegetable (except Potato) and Melon Farming | Site Preparation Contractors,Agriculture & Forestry,FOIA,0.5014158219967441,2.1108382654429554,8.22681203007519,1824.0,1.0101032702237522,True,,1.0,False
6,48405,San Augustine,TX,0.7205060713711676,High,Resilient,0.49351243620332896,3.8361659499838177,-11.057514967357932,0.7994314092413992,0.8228604814604696,0.7793658968665762,0.8011131891635229,high,Broilers and Other Meat Type,Agriculture & Forestry,FOIA,0.6182860731333841,6.980796045355138,13.889323308270676,4336.0,1.0533390705679861,True,,1.0,False
7,51580,,VA,0.6776165403819139,High,At Risk,0.411764705882353,,,0.8,0.823529411764706,,0.823529411764706,foia_only,Hotels (except Casino Hotels) and Motels,Tourism & Hospitality,FOIA,0.5781788132497248,5.420314007875106,7.1711203007518804,,1.0,False,,1.0,False
8,49031,,UT,0.6733054542699873,High,At Risk,0.4085824288539975,,,0.7190119760479042,0.7282493835857697,0.9060803318302202,0.817164857707995,low,All Other Amusement and Recreation Industries | Other Motor Vehicle Parts Manufacturing,Tourism & Hospitality,FOIA,0.575445570821747,4.993492600005017,2.7213157894736852,4020.0,1.0,True,,1.0,False
9,28079,,MS,0.7023791002021078,High,At Risk,0.41251265480101595,,,0.9493680367006835,0.9992565137655101,0.6507941054385536,0.8250253096020319,low,Broilers and Other Meat Type | Poultry Hatcheries | Other Poultry Production,Agriculture & Forestry,FOIA,0.5667552073911917,5.098921268840925,19.04139097744361,3798.0,1.04407917383821,True,,1.0,False
10,51595,,VA,0.6723942905345022,High,At Risk,0.39440803747260206,,,0.7704936637034235,0.7888160749452041,,0.7888160749452041,foia_only,Hotels (except Casino Hotels) and Motels | All Other Outpatient Care Centers,Tourism & Hospitality,FOIA,0.6006534965008266,6.228399529986834,6.410165413533833,,1.0,False,,1.0,False
11,4011,Greenlee,AZ,0.6688911638947503,High,Resilient,0.7522515213632355,7.458908382524844,-14.99673587925287,,,0.8287684680133998,0.8287684680133998,gdp_only,"Mining, quarrying, and oil and gas extraction (46%); Mining, quarrying, and oil and gas extraction (46%); Real estate and rental and leasing (1%)","Mining, quarrying, and oil and gas extraction",BEA_CAGDP2,0.5423068413201413,4.217730216944829,12.013661654135339,5515.0,1.0,True,,1.0,False
12,20185,,KS,0.6781681001821529,High,At Risk,0.43253155951840094,,,0.95,1.0,0.7301262380736038,0.8650631190368019,low,All Other Miscellaneous Crop Farming,Agriculture & Forestry,FOIA,0.5196842269599278,2.7523564162043264,4.369436090225564,2086.0,1.0146127366609294,True,,1.0,False
13,48365,,TX,0.6891319770529939,High,At Risk,0.3995827535432689,,,0.9202574038195406,0.9650087103759302,0.6333223037971453,0.7991655070865378,low,Broilers and Other Meat Type | Chicken Egg Production | Other Poultry Production,Agriculture & Forestry,FOIA,0.5805379653075983,5.464595511379215,41.917932330827064,3130.0,1.0325817555938037,True,,1.0,False
14,27155,,MN,0.7156242927696655,High,At Risk,0.4251347279967861,,,0.95,1.0,0.7005389119871444,0.8502694559935722,low,Oilseed and Grain Combination,Agriculture & Forestry,FOIA,0.5309581820127832,3.373938459299892,3.642052631578948,5472.0,1.0728915662650602,True,,1.0,False
15,5025,,AR,0.6944988608256447,High,At Risk,0.41544961942964215,,,0.9112703330751356,0.9544356859707477,0.7073627917478209,0.8308992388592843,low,"Broilers and Other Meat Type | Other Poultry Production | All Other Professional, Scientific, and Technical Services",Agriculture & Forestry,FOIA,0.5471792757180951,4.3151211482309355,6.861917293233083,3733.0,1.042960413080895,True,,1.0,False
16,28005,,MS,0.6869618776518515,High,At Risk,0.38795239358485734,,,0.95,1.0,0.5518095743394293,0.7759047871697147,low,Broilers and Other Meat Type | Other Poultry Production,Agriculture & Forestry,FOIA,0.5942744282680761,6.13961155998851,10.463067669172935,3315.0,1.0357659208261618,True,,1.0,False
17,51620,,VA,0.6629377113742143,High,At Risk,0.3943458219214765,,,0.77038789726651,0.788691643842953,,0.788691643842953,foia_only,Hotels (except Casino Hotels) and Motels | Fitness and Recreational Sports Centers | Home Health Care Services,Tourism & Hospitality,FOIA,0.5814455643193774,5.301331495812548,12.065210526315795,,1.0,False,,1.0,False
18,30051,,MT,0.6623865467280217,High,At Risk,0.4291067374988117,,,0.95,1.0,0.7164269499952467,0.8582134749976233,low,All Other Miscellaneous Crop Farming,Agriculture & Forestry,FOIA,0.5139330979049298,2.61707406460628,2.5544060150375945,1237.0,1.0,True,,1.0,False
19,72129,,PR,0.6598477520277846,High,At Risk,0.3703396851698426,,,0.7295774647887324,0.7406793703396852,,0.7406793703396852,foia_only,"Full-Service Restaurants | Highway, Street, and Bridge Construction",Tourism & Hospitality,FOIA,0.6209771711096943,8.393141250763277,,,1.0,False,,1.0,False
20,72147,,PR,0.6594567855111946,High,At Risk,0.3719458374903495,,,0.7323079237335941,0.743891674980699,,0.743891674980699,foia_only,Full-Service Restaurants | Electrical Contractors | All Other Traveler Accommodation,Tourism & Hospitality,FOIA,0.6171107259553703,8.777515828986877,,,1.0,False,,1.0,False
21,48195,,TX,0.668480382377129,High,At Risk,0.42172291880774426,,,0.95,1.0,0.6868916752309772,0.8434458376154885,low,All Other Grain Farming,Agriculture & Forestry,FOIA,0.5219326667820773,2.7757958875420123,8.309593984962406,2037.0,1.0137693631669535,True,,1.0,False
22,21149,,KY,0.7092553063386914,High,At Risk,0.40231098573493074,,,0.9222826086956522,0.9673913043478262,0.6418526385918967,0.8046219714698615,low,Chicken Egg Production | General Automotive Repair,Agriculture & Forestry,FOIA,0.5554713628218862,4.87502916741754,9.375796992481204,5794.0,1.078433734939759,True,,1.0,False
23,72081,,PR,0.6566378423806117,High,At Risk,0.29252782193958665,,,0.5972972972972973,0.5850556438791733,,0.5850556438791733,foia_only,Full-Service Restaurants | Offices of All Other Miscellaneous Health Practitioners,Tourism & Hospitality,FOIA,0.7630212423685788,13.507692805379968,,,1.0,False,,1.0,False
24,48177,,TX,0.6545231516591041,High,At Risk,0.4052014637040985,,,0.8284254143646409,0.8569710757231069,0.7638347790932871,0.810402927408197,high,Hotels (except Casino Hotels) and Motels | Broilers and Other Meat Type | Other Animal Food Manufacturing,Tourism & Hospitality,FOIA,0.5435164354918706,3.7858693034718747,37.055210526315804,4484.0,1.0,True,,1.0,False
25,48461,,TX,0.653119289153341,High,At Risk,0.40858472455081774,,,0.7780642511636396,0.7977226484278114,0.8366162497754595,0.8171694491016355,high,Support Activities for Oil and Gas Operations | Full-Service Restaurants | Landscaping Services,Energy & Mining,FOIA,0.53418599519637,3.4367993026147476,4.77975939849624,1323.0,1.0,True,,1.0,False
26,48255,,TX,0.6518976005557522,High,At Risk,0.4081395370980262,,,0.8,0.823529411764706,0.8090287366273987,0.8162790741960524,high,Hotels (except Casino Hotels) and Motels | Full-Service Restaurants,Tourism & Hospitality,FOIA,0.5325394006113442,4.007992453843284,27.937917293233085,2951.0,1.0,True,,1.0,False
27,51149,,VA,0.6491012551701958,High,At Risk,0.3906602296281376,,,0.7641223903678339,0.7813204592562752,,0.7813204592562752,foia_only,Limited-Service Restaurants | Support Activities for Animal Production | Commercial and Industrial Machinery and Equipment (except Automotive a,Tourism & Hospitality,FOIA,0.5602062068094958,4.228344915378814,59.34524812030075,4187.0,1.0,True,,1.0,False
28,20075,,KS,0.6485511109461866,High,At Risk,0.42224484029735476,,,0.7711239938673822,0.7895576398439791,0.8994217213454401,0.8444896805947095,high,Hotels (except Casino Hotels) and Motels | Automotive Parts and Accessories Stores | Horse and Other Equine Production,Tourism & Hospitality,FOIA,0.498761899615615,1.8509241848456608,2.752744360902256,1478.0,1.0,True,,1.0,False
29,54103,,WV,0.6479995835687514,High,At Risk,0.36619528260267586,,,0.740625,0.7536764705882353,0.7111046598224682,0.7323905652053517,high,Hotels (except Casino Hotels) and Motels | Fitness and Recreational Sports Centers | Automotive Glass Replacement Shops,Tourism & Hospitality,FOIA,0.6046775797830675,7.116042470178676,13.264090225563908,2290.0,1.0,True,,1.0,False
30,72115,,PR,0.6465890491755941,High,At Risk,0.33203401842664776,,,0.6644578313253012,0.6640680368532955,,0.6640680368532955,foia_only,Mobile Food Services | Ice Cream and Frozen Dessert Manufacturing,Tourism & Hospitality,FOIA,0.6670356434020617,10.320582149144858,,,1.0,False,,1.0,False
31,48419,,TX,0.6722585166878041,High,At Risk,0.3843003174905206,,,0.8579739043898124,0.8917340051644851,0.6454672647975973,0.7686006349810413,low,Broilers and Other Meat Type | Hotels (except Casino Hotels) and Motels | Supermarkets and Other Grocery (except Convenience) Stores,Agriculture & Forestry,FOIA,0.5663339259801408,5.028819118163086,43.600781954887225,3584.0,1.04039586919105,True,,1.0,False
32,13315,,GA,0.6638182421881387,High,At Risk,0.3863250441367013,,,0.95,1.0,0.5453001765468053,0.7726500882734026,low,Broilers and Other Meat Type,Agriculture & Forestry,FOIA,0.5623140782121386,4.980777408868315,11.198323308270677,2832.0,1.0274526678141136,True,,1.0,False
33,38091,,ND,0.662694928198424,High,At Risk,0.40870691712423624,,,0.95,1.0,0.6348276684969449,0.8174138342484725,low,Farm Management Services,Agriculture & Forestry,FOIA,0.5144705721507333,2.13308222027868,3.177481203007519,2962.0,1.0296901893287436,True,,1.0,False
34,46091,,SD,0.6413251729106418,High,At Risk,0.40100370271276553,,,0.8,0.823529411764706,0.7804853990863561,0.8020074054255311,high,Full-Service Restaurants,Tourism & Hospitality,FOIA,0.5245600917099346,3.1940340484415843,5.66609022556391,3787.0,1.0,True,,1.0,False
35,48389,,TX,0.6410549869790967,High,At Risk,0.40490663117094705,,,0.7685825621042377,0.7865677201226325,0.8330588045611558,0.8098132623418941,high,"Hotels (except Casino Hotels) and Motels | Plumbing, Heating, and Air-Conditioning Contractors | Water Supply and Irrigation Systems",Tourism & Hospitality,FOIA,0.5165541312386951,4.191891851685949,7.26115037593985,1309.0,1.0,True,,1.0,False
36,21233,,KY,0.6754052773883484,High,At Risk,0.38210743560020616,,,0.95,1.0,0.5284297424008246,0.7642148712004123,low,Broilers and Other Meat Type,Agriculture & Forestry,FOIA,0.5600793238672164,4.647930400535666,12.442804511278199,4351.0,1.0535972461273666,True,,1.0,False
37,51195,,VA,0.6405806154415112,High,At Risk,0.36919734696935985,,,0.7276354898479117,0.7383946939387197,,0.7383946939387197,foia_only,Hotels (except Casino Hotels) and Motels | Solid Waste Collection | General Automotive Repair,Tourism & Hospitality,FOIA,0.583781856923203,5.34968462625318,44.332007518797006,3671.0,1.0,True,,1.0,False
38,40063,,OK,0.650693174101716,High,At Risk,0.3794714125865316,,,0.7144534662623978,0.7228864308969386,0.7949992194491879,0.7589428251730632,high,Hunting and Trapping | Insurance Agencies and Brokerages | Fitness and Recreational Sports Centers,Agriculture & Forestry,FOIA,0.5625918503743652,5.097095420995888,13.92819548872181,2225.0,1.0170051635111876,True,,1.0,False
39,31039,,NE,0.7087742924474033,High,At Risk,0.40554743917965996,,,0.8977252970153579,0.9385003494298327,0.683689407288807,0.8110948783593199,low,Broilers and Other Meat Type | Cattle Feedlots | All Other Specialty Trade Contractors,Agriculture & Forestry,FOIA,0.512613717815511,2.1860028706769206,15.050609022556397,7508.0,1.107934595524957,True,,1.0,False
40,51720,,VA,0.6390141749815175,High,At Risk,0.3750271115626534,,,0.7375460896565108,0.7500542231253068,,0.7500542231253068,foia_only,Limited-Service Restaurants | Hotels (except Casino Hotels) and Motels | General Automotive Repair,Tourism & Hospitality,FOIA,0.5694468430629069,4.859002872260067,4.103992481203007,,1.0,False,,1.0,False
41,72095,,PR,0.6386005062911515,High,At Risk,0.2945803957862645,,,0.6007866728366497,0.589160791572529,,0.589160791572529,foia_only,"Full-Service Restaurants | Offices of Physical, Occupational and Speech Therapists, and Audiologi | Offices of Chiropractors",Tourism & Hospitality,FOIA,0.7222377062021639,13.853924102551309,,,1.0,False,,1.0,False
42,35025,,NM,0.6381440731374463,High,At Risk,0.35718172645424073,,,0.7146639470497643,0.723134055352664,0.705592850464299,0.7143634529084815,high,Support Activities for Oil and Gas Operations | Hotels (except Casino Hotels) and Motels | Rooming and Boarding Houses,Tourism & Hospitality,FOIA,0.6017495136624085,5.84466150108909,95.13720300751882,979.0,1.0,True,,1.0,False
43,48501,,TX,0.6360110771988687,High,At Risk,0.3680126708332744,,,0.716438530591456,0.7252218006958306,0.7468288826372669,0.7360253416665488,high,Support Activities for Oil and Gas Operations | Landscaping Services | All Other Telecommunications,Energy & Mining,FOIA,0.57670540938485,5.096119703214522,12.663624060150374,1606.0,1.0,True,,1.0,False
44,22013,,LA,0.6618027358079713,High,At Risk,0.368970433482006,,,0.8916691148696857,0.9313754292584537,0.5445063046695703,0.737940866964012,low,"Support Activities for Animal Production | Broilers and Other Meat Type | Specialized Freight (except Used Goods) Trucking, Long-Distance",Agriculture & Forestry,FOIA,0.5741259993337194,5.638431124274733,14.886052631578949,3628.0,1.0411531841652324,True,,1.0,False
45,48115,,TX,0.6338609534677921,High,At Risk,0.3695424566319948,,,0.7830278787878788,0.803562210338681,0.6746076161892982,0.7390849132639896,high,Hotels (except Casino Hotels) and Motels | All Other Specialty Trade Contractors | All Other Grain Farming,Tourism & Hospitality,FOIA,0.5693895553718746,5.268665245831245,19.060924812030073,1359.0,1.0,True,,1.0,False
46,48483,,TX,0.6336527725838437,High,At Risk,0.3725113958036681,,,0.8,0.823529411764706,0.6665161714499663,0.7450227916073362,low,Hotels (except Casino Hotels) and Motels,Tourism & Hospitality,FOIA,0.5632940397734478,4.35270108506529,7.774616541353383,1373.0,1.0,True,,1.0,False
47,51820,,VA,0.6333482117649465,High,At Risk,0.3808762415436859,,,0.747489610624266,0.7617524830873718,,0.7617524830873718,foia_only,Hotels (except Casino Hotels) and Motels | Soft Drink Manufacturing | Surveying and Mapping (except Geophysical) Services,Tourism & Hospitality,FOIA,0.5466965033558834,3.8511891110723413,35.278887218045114,,1.0,False,,1.0,False
48,29129,,MO,0.6617580101651399,High,At Risk,0.39010409523232986,,,0.95,1.0,0.5604163809293194,0.7802081904646597,low,All Other Miscellaneous Crop Farming,Agriculture & Forestry,FOIA,0.5277986583074299,3.227538424654191,3.795037593984964,3903.0,1.0458864027538726,True,,1.0,False
49,48123,,TX,0.6309417261830081,High,At Risk,0.3787866475477277,,,0.7976447883510774,0.8207585745306794,0.6943880156602313,0.7575732950954553,high,Hotels (except Casino Hotels) and Motels | Support Activities for Oil and Gas Operations | Painting and Wall Covering Contractors,Tourism & Hospitality,FOIA,0.5457689669232751,4.055376138079479,36.98087218045114,3823.0,1.0,True,,1.0,False
50,30101,,MT,0.63069230343386,High,At Risk,0.3898017560466489,,,0.95,1.0,0.5592070241865957,0.7796035120932978,low,Wheat Farming,Agriculture & Forestry,FOIA,0.5231143607421896,2.7726874983184326,7.130834586466166,1287.0,1.0008605851979346,True,,1.0,False
51,2188,,AK,0.6296177352464998,High,At Risk,0.28803867060630817,,,0.5432835820895522,0.5215100965759437,0.6306445858492888,0.5760773412126163,high,Electrical Contractors,Construction,FOIA,0.7163726121228879,11.585579485292078,9.36109022556391,,1.0,False,,1.0,False
52,48371,,TX,0.6268083790800596,High,At Risk,0.3632872172500685,,,0.7622461990081468,0.7791131753037022,0.6740356936965719,0.726574434500137,high,Hotels (except Casino Hotels) and Motels | Convenience Stores | Drinking Places (Alcoholic Beverages),Tourism & Hospitality,FOIA,0.5669221460219918,4.921980069049729,24.07985714285715,1178.0,1.0,True,,1.0,False
53,48017,,TX,0.6263154951292447,High,At Risk,0.3657735737161551,,,0.7102974828375286,0.7179970386323866,0.7450972562322338,0.7315471474323102,high,Hotels (except Casino Hotels) and Motels,Tourism & Hospitality,FOIA,0.5611664039126231,4.6473932934969255,12.014571428571434,1912.0,1.0,True,,1.0,False
54,28077,,MS,0.6492722644076304,High,At Risk,0.35342230198780533,,,0.9289713347267841,0.9752603937962165,0.4384288141550047,0.7068446039756107,low,Broilers and Other Meat Type | Other Poultry Production | Chicken Egg Production,Agriculture & Forestry,FOIA,0.5819678004508269,5.931095355334099,9.59533834586466,3498.0,1.0389156626506024,True,,1.0,False
55,22027,,LA,0.6466582217640452,High,At Risk,0.36130955604959436,,,0.9235279745907647,0.9688564406950173,0.47638178350336,0.7226191120991887,low,"Broilers and Other Meat Type | Specialized Freight (except Used Goods) Trucking, Local",Agriculture & Forestry,FOIA,0.5642753602574062,5.045611430140739,16.553887218045112,3379.0,1.0368674698795182,True,,1.0,False
56,5061,,AR,0.6542435997947443,High,At Risk,0.37672320813808535,,,0.95,1.0,0.5068928325523413,0.7534464162761707,low,Chicken Egg Production,Agriculture & Forestry,FOIA,0.53297261889946,3.7270169200378374,11.545210526315795,4175.0,1.0505679862306367,True,,1.0,False
57,51750,,VA,0.6227323742209188,High,At Risk,0.3647731332618792,,,0.7201143265451947,0.7295462665237584,,0.7295462665237584,foia_only,Hotels (except Casino Hotels) and Motels | Veterinary Services | Offices of Mental Health Practitioners (except Physicians),Tourism & Hospitality,FOIA,0.5557540815716803,4.341129467707335,27.287015037593992,,1.0,False,,1.0,False
58,22085,,LA,0.6489450352797453,High,At Risk,0.3658708357114571,,,0.8839254192409532,0.9222651991070039,0.5412181437388246,0.7317416714229142,low,"Broilers and Other Meat Type | Plumbing, Heating, and Air-Conditioning Contractors | Limited-Service Restaurants",Agriculture & Forestry,FOIA,0.5534601829826408,4.504848829151366,28.521270676691735,3692.0,1.0422547332185887,True,,1.0,False
59,35011,,NM,0.6221777242937794,High,At Risk,0.3689619557555779,,,0.8,0.823529411764706,0.6523184112576056,0.7379239115111558,low,Hotels (except Casino Hotels) and Motels,Tourism & Hospitality,FOIA,0.5466207543805889,4.143695667110284,2.2608270676691733,385.0,1.0,True,,1.0,False
60,46115,,SD,0.6543647082709507,High,At Risk,0.3810791260464987,,,0.95,1.0,0.5243165041859947,0.7621582520929974,low,Hay Farming,Agriculture & Forestry,FOIA,0.52343112126504,2.7527724361554986,6.8036691729323335,4245.0,1.0517728055077453,True,,1.0,False
61,31035,,NE,0.680123560912989,High,At Risk,0.3807544110793429,,,0.935375118708452,0.9827942573040611,0.5402233870133104,0.7615088221586858,low,"Beef Cattle Ranching and Farming | General Freight Trucking, Long Distance, Truckload",Agriculture & Forestry,FOIA,0.5221821005046771,2.713806857651356,10.525631578947369,6744.0,1.0947848537005163,True,,1.0,False
62,38075,,ND,0.6212276473870563,High,At Risk,0.3808298375012076,,,0.8,0.823529411764706,0.6997899382401245,0.7616596750024152,high,Full-Service Restaurants,Tourism & Hospitality,FOIA,0.5220138921636579,2.494279641107505,4.376639097744362,2334.0,1.0,True,,1.0,False
63,51790,,VA,0.6206181771097357,High,At Risk,0.3690404237380269,,,0.7273687203546457,0.7380808474760538,,0.7380808474760538,foia_only,"Hotels (except Casino Hotels) and Motels | Other Individual and Family Services | Specialized Freight (except Used Goods) Trucking, Local",Tourism & Hospitality,FOIA,0.5432835944073147,3.533836593840366,36.51963909774437,,1.0,False,,1.0,False
64,38009,,ND,0.6295096496759212,High,At Risk,0.3722996096525367,,,0.95,1.0,0.489198438610147,0.7445992193050734,low,Oilseed and Grain Combination | Soybean Farming | All Other Miscellaneous Crop Farming,Agriculture & Forestry,FOIA,0.5367017826331547,3.3264333308211667,11.626962406015043,2086.0,1.0146127366609294,True,,1.0,False
65,5127,,AR,0.6393196718395641,High,At Risk,0.3718732875396318,,,0.9494087293055257,0.9993043874182654,0.4881887627402617,0.7437465750792636,low,Broilers and Other Meat Type | Other Support Activities for Road Transportation,Agriculture & Forestry,FOIA,0.5353093663672005,3.492862302093131,9.669270676691731,3109.0,1.0322203098106713,True,,1.0,False
66,1131,,AL,0.6162314613699555,High,At Risk,0.29348632959984655,,,0.8,0.823529411764706,0.35041590663468025,0.5869726591996931,low,Limited-Service Restaurants,Tourism & Hospitality,FOIA,0.6786107210547371,10.398833143598171,8.568609022556396,2163.0,1.0,True,,1.0,False
67,48003,,TX,0.6161102962684419,High,At Risk,0.36191337792001044,,,0.7011467004796296,0.707231412328976,0.7404220993510657,0.7238267558400209,high,"Hotels (except Casino Hotels) and Motels | Full-Service Restaurants | Specialized Freight (except Used Goods) Trucking, Long-Distance",Tourism & Hospitality,FOIA,0.5476818335117697,4.028496039540274,33.04436842105263,1595.0,1.0,True,,1.0,False
