probability_rank,fips,county_name,state,probability_score,probability_tier,drought_score,fire_frequency_score,max_consecutive_weeks,recent_intensity,episode_frequency,total_drought_weeks,fire_count,fires_per_100k,last_drought_end
1,49037,San Juan County,UT,0.7836305813957505,Critical,0.75,0.06697102801099808,261,132.86936177546235,1,261,165,654.3686149163623,2024-01-01
2,35039,Rio Arriba County,NM,0.7814154612337466,Critical,0.75,0.057418979015724944,261,132.86936177546235,1,261,275,561.0419935007558,2024-01-01
3,35006,Cibola County,NM,0.7761692030098258,Critical,0.75,0.03479604575172838,261,132.86936177546235,1,261,107,340.00858704688034,2024-01-01
4,35045,San Juan County,NM,0.7702973825028632,Critical,0.75,0.009475560598806377,261,132.86936177546235,1,261,208,92.61922240944872,2024-01-01
5,35031,McKinley County,NM,0.7700736393863509,Critical,0.75,0.008510734740624495,261,132.86936177546235,1,261,87,83.19256037671767,2024-01-01
6,35043,Sandoval County,NM,0.7698263919582102,Critical,0.75,0.007444553506728237,261,132.86936177546235,1,261,178,72.77562340063017,2024-01-01
7,41069,Wheeler County,OR,0.7606845069363584,Critical,0.6426194493673825,0.576557092987379,214,113.30914131063807,2,246,72,5633.18999536087,2024-01-01
8,49017,Garfield County,UT,0.7162918080702018,High,0.687313204397369,0.13184363909260238,232,119.56565271301858,2,244,109,1288.1950973444548,2024-01-01
9,4005,Coconino County,AZ,0.698622760042024,High,0.6826080381981245,0.08231566261600812,229,119.55898179677835,2,252,1331,804.2906793081223,2024-01-01
10,49055,Wayne County,UT,0.6965998611457015,High,0.687313204397369,0.046927955933911955,232,119.56565271301858,2,244,21,458.54129025862864,2024-01-01
11,49041,Sevier County,UT,0.6964571132723127,High,0.687313204397369,0.04631239804952775,232,119.56565271301858,2,244,93,452.5270897804124,2024-01-01
12,49039,Sanpete County,UT,0.6917008281845877,High,0.6883635768350737,0.019849783674717153,232,119.96228282320801,2,247,77,193.97875165450253,2024-01-01
13,41023,Grant County,OR,0.6913112749901672,High,0.6359716666248326,0.31507911583215853,214,110.79887856283129,2,229,274,3078.4652243133487,2024-01-01
14,49027,Millard County,UT,0.6908011653730792,High,0.677536544652237,0.07732791584337037,221,115.6210345914057,3,245,160,755.5587732011473,2024-01-01
15,35059,Union County,NM,0.6903872824480825,High,0.6694446327803175,0.12140068318912237,225,116.94841753003011,2,244,27,1186.1640260479987,2024-01-01
16,6093,Siskiyou County,CA,0.6865266123428806,High,0.6560930761054721,0.18041703237600598,214,111.65388607077607,3,235,583,1762.7729275120803,2024-01-01
17,41037,Lake County,OR,0.6853601894142477,High,0.6381794614001268,0.2769050731820252,214,111.63256179133849,2,235,290,2705.492427788205,2024-01-01
18,49025,Kane County,UT,0.6853132685943161,High,0.6712575482319293,0.08924656517621374,226,117.0429766641054,2,242,132,872.007848642666,2024-01-01
19,41021,Gilliam County,OR,0.6852613406006851,High,0.6426194493673825,0.25131704841785235,214,113.30914131063807,2,246,17,2455.4891142456495,2024-01-01
20,35011,DeBaca County,NM,0.6846991870602713,High,0.6739801423574252,0.07116936094572525,208,108.46225173580042,5,227,14,695.3876914066363,2024-01-01
21,41025,Harney County,OR,0.6785932549879969,High,0.6381794614001268,0.24772467462121983,214,111.63256179133849,2,235,161,2420.3904553644425,2024-01-01
22,4015,Mohave County,AZ,0.6766409331848583,High,0.6772342170028887,0.01797942761134724,229,117.52977842443694,2,237,553,175.70476537942304,2024-01-01
23,35007,Colfax County,NM,0.6752182045580293,High,0.6727292973955009,0.03737407357860167,226,117.59872242814531,2,246,48,365.19675631994033,2024-01-01
