county,fiscal_year,total_pif
Alameda,2025,11694
Alameda,2024,6774
Alameda,2023,3519
Alameda,2022,29562
Alameda,2021,638
Alpine,2025,392
Alpine,2024,346
Alpine,2023,297
Alpine,2022,2632
Alpine,2021,18
Amador,2025,6186
Amador,2024,5495
Amador,2023,4742
Amador,2022,40413
Amador,2021,625
Butte,2025,9392
Butte,2024,8165
Butte,2023,5878
Butte,2022,37223
Butte,2021,265
Calaveras,2025,10572
Calaveras,2024,9548
Calaveras,2023,8520
Calaveras,2022,69836
Calaveras,2021,69
Colusa,2025,68
Colusa,2024,48
Colusa,2023,38
Colusa,2022,28
Colusa,2021,12
Contra Costa,2025,12837
Contra Costa,2024,6541
Contra Costa,2023,1993
Contra Costa,2022,12641
Contra Costa,2021,94
Del Norte,2025,572
Del Norte,2024,354
Del Norte,2023,215
Del Norte,2022,1571
Del Norte,2021,27
El Dorado,2025,28167
El Dorado,2024,23921
El Dorado,2023,18715
El Dorado,2022,154541
El Dorado,2021,4090
Fresno,2025,5821
Fresno,2024,4674
Fresno,2023,3738
Fresno,2022,33112
Fresno,2021,875
Glenn,2025,58
Glenn,2024,49
Glenn,2023,27
Glenn,2022,23
Glenn,2021,11
Humboldt,2025,2844
Humboldt,2024,2061
Humboldt,2023,1448
Humboldt,2022,10969
Humboldt,2021,30
Imperial,2025,661
Imperial,2024,453
Imperial,2023,277
Imperial,2022,2452
Imperial,2021,54
Inyo,2025,303
Inyo,2024,188
Inyo,2023,81
Inyo,2022,55
Inyo,2021,45
Kern,2025,11329
Kern,2024,8551
Kern,2023,5642
Kern,2022,47154
Kern,2021,273
Kings,2025,179
Kings,2024,117
Kings,2023,54
Kings,2022,46
Kings,2021,24
Lake,2025,5739
Lake,2024,4837
Lake,2023,3298
Lake,2022,22301
Lake,2021,592
Lassen,2025,1064
Lassen,2024,806
Lassen,2023,393
Lassen,2022,2091
Lassen,2021,59
Los Angeles,2025,154765
Los Angeles,2024,112945
Los Angeles,2023,90903
Los Angeles,2022,846818
Los Angeles,2021,4363
Madera,2025,5650
Madera,2024,4749
Madera,2023,3678
Madera,2022,31622
Madera,2021,314
Marin,2025,4361
Marin,2024,2885
Marin,2023,1679
