fips,total_hu,wui_hu,intermix_hu,interface_hu,wui_housing_fraction,wui_intermix_fraction,wui_interface_fraction
1001,24350,16547,6656,9891,0.6795482546201232,0.273347022587269,0.4062012320328542
1003,124148,67857,26922,40935,0.5465814995005961,0.21685407739150048,0.3297274221090956
1005,11618,8737,3451,5286,0.752022723360303,0.29703907729385437,0.4549836460664486
1007,9002,7053,4553,2500,0.7834925572095089,0.5057764941124194,0.2777160630970895
1009,24622,18705,12232,6473,0.7596864592640727,0.49679148728779143,0.26289497197628137
1011,4516,2865,1280,1585,0.6344109831709478,0.283436669619132,0.35097431355181574
1013,9806,6986,3463,3523,0.712420966755048,0.35315113196002446,0.35926983479502345
1015,53052,46482,14492,31990,0.8761592399909522,0.2731659503882983,0.602993289602654
1017,16373,14046,5291,8755,0.8578757710865449,0.3231539730043364,0.5347217980822085
1019,14513,7535,4765,2770,0.5191896920002756,0.3283263281196169,0.19086336388065872
1021,19438,13039,9240,3799,0.6707994649655314,0.47535754707274414,0.19544191789278734
1023,7104,3798,3028,770,0.5346283783783784,0.42623873873873874,0.10838963963963964
1025,11655,7917,4989,2928,0.6792792792792792,0.42805662805662803,0.25122265122265125
1027,7035,4578,2546,2032,0.6507462686567164,0.3619047619047619,0.2888415067519545
1029,6801,4562,3361,1201,0.6707837082781943,0.4941920305837377,0.1765916776944567
1031,24105,13432,5682,7750,0.5572287907073221,0.235718730553827,0.32151006015349515
1033,27666,6202,3833,2369,0.2241740764837707,0.1385455071206535,0.08562856936311718
1035,6382,3245,2145,1100,0.5084612973989345,0.3361015355687872,0.17235976183014728
1037,5999,4104,3426,678,0.6841140190031672,0.5710951825304217,0.11301883647274545
1039,18596,13526,6053,7473,0.7273607227360722,0.32550010755001074,0.40186061518606153
1041,6516,3637,1852,1785,0.5581645181092695,0.2842234499693063,0.27394106813996316
1043,39145,15181,11216,3965,0.3878145357006003,0.2865244603397624,0.10129007536083791
1045,22761,17809,8676,9133,0.7824348666578798,0.3811783313562673,0.4012565353016124
1047,18880,15592,5065,10527,0.8258474576271186,0.2682733050847458,0.5575741525423729
1049,30584,13162,7902,5260,0.4303557415642166,0.2583703897462726,0.17198535181794403
1051,36818,30375,18377,11998,0.8250040740941931,0.499130859905481,0.32587321418871207
1053,16684,9984,5257,4727,0.5984176456485255,0.31509230400383603,0.28332534164468953
