NAME,fips,B25049_001E,B25049_004E,B25049_007E,private_well_proxy_pct
"Autauga County, Alabama",01001,22523,57,0,0.0025307463481774187
"Baldwin County, Alabama",01003,94642,354,77,0.004554003507956299
"Barbour County, Alabama",01005,9080,12,0,0.0013215859030837004
"Bibb County, Alabama",01007,7571,8,6,0.0018491612732796196
"Blount County, Alabama",01009,21977,59,83,0.006461300450470947
"Bullock County, Alabama",01011,3453,10,0,0.0028960324355632784
"Butler County, Alabama",01013,7262,0,12,0.0016524373450839988
"Calhoun County, Alabama",01015,45125,21,240,0.00578393351800554
"Chambers County, Alabama",01017,13419,32,0,0.0023846784410164693
"Cherokee County, Alabama",01019,10477,26,0,0.0024816264197766538
"Chilton County, Alabama",01021,17554,22,0,0.0012532756066993278
"Choctaw County, Alabama",01023,5174,11,7,0.003478933127174333
"Clarke County, Alabama",01025,8452,18,41,0.0069805963085660195
"Clay County, Alabama",01027,5765,7,0,0.0012142237640936687
"Cleburne County, Alabama",01029,5849,36,0,0.006154898273209096
"Coffee County, Alabama",01031,20860,68,5,0.0034995206136145735
"Colbert County, Alabama",01033,24217,63,0,0.0026014783003675103
"Conecuh County, Alabama",01035,4528,0,0,0.0
"Coosa County, Alabama",01037,4201,52,2,0.012854082361342537
"Covington County, Alabama",01039,14495,36,12,0.0033114867195584686
"Crenshaw County, Alabama",01041,5075,21,14,0.006896551724137931
"Cullman County, Alabama",01043,34543,75,14,0.0025764988564976987
"Dale County, Alabama",01045,19769,50,22,0.003642065860690981
"Dallas County, Alabama",01047,15416,54,0,0.003502854177477945
"DeKalb County, Alabama",01049,25946,50,3,0.002042704077699838
"Elmore County, Alabama",01051,32529,47,31,0.0023978603707461034
"Escambia County, Alabama",01053,12781,4,7,0.0008606525311008528
"Etowah County, Alabama",01055,39160,41,36,0.001966292134831461
"Fayette County, Alabama",01057,6051,7,0,0.0011568335812262437
"Franklin County, Alabama",01059,11593,1,0,8.625894936599672e-05
"Geneva County, Alabama",01061,10550,23,25,0.004549763033175356
"Greene County, Alabama",01063,3037,0,21,0.00691471847217649
"Hale County, Alabama",01065,5541,62,0,0.011189316007940805
"Henry County, Alabama",01067,6684,21,0,0.0031418312387791743
"Houston County, Alabama",01069,42581,38,83,0.0028416429863084474
"Jackson County, Alabama",01071,21186,122,13,0.006372132540356839
"Jefferson County, Alabama",01073,268911,925,481,0.005228495673289675
"Lamar County, Alabama",01075,4987,32,0,0.006416683376779627
"Lauderdale County, Alabama",01077,38777,145,69,0.005518735332800372
"Lawrence County, Alabama",01079,13145,8,13,0.001597565614302016
"Lee County, Alabama",01081,67944,49,62,0.0016336983398092548
"Limestone County, Alabama",01083,40021,77,28,0.0026236225981359786
"Lowndes County, Alabama",01085,4161,9,0,0.0021629416005767843
"Macon County, Alabama",01087,7151,30,15,0.006292826178156901
"Madison County, Alabama",01089,162469,156,42,0.0012186940277837618
"Marengo County, Alabama",01091,7615,8,0,0.001050558108995404
"Marion County, Alabama",01093,10874,118,0,0.010851572558396175
"Marshall County, Alabama",01095,35963,95,17,0.0031143119317075885
"Mobile County, Alabama",01097,160507,305,336,0.003993595294909257
"Monroe County, Alabama",01099,7396,39,0,0.0052731206057328285
"Montgomery County, Alabama",01101,90785,155,107,0.0028859393071542657
"Morgan County, Alabama",01103,48752,61,156,0.004451099442074172
"Perry County, Alabama",01105,3195,0,0,0.0
