area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,area_title,own_title,industry_title,agglvl_title,size_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs_count,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_count_chg,oty_annual_avg_estabs_count_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
06043,0,10,70,0,2023,A,,"Mariposa County, California",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,614,5893,294552693,34825093,1615133,961,49981,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,38,6.6,323,5.8,22180252,8.1,583524,1.7,-1664,-0.1,21,2.2,1077,2.2
51760,0,10,70,0,2023,A,,"Richmond City, Virginia",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,9087,160471,12803822585,1148265754,8069046,1534,79789,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,-68,-0.7,6088,3.9,875040865,7.3,33963069,3.0,-4676770,-36.7,48,3.2,2522,3.3
72153,0,10,70,0,2023,A,,"Yauco Municipio, Puerto Rico",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,481,6916,168202618,39703710,1387936,468,24323,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,18,3.9,152,2.2,4934825,3.0,2173127,5.8,393446,39.6,4,0.9,186,0.8
46035,0,10,70,0,2023,A,,"Davison County, South Dakota",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,822,12427,642435339,151418123,939171,994,51697,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,9,1.1,208,1.7,48255940,8.1,5580595,3.8,-52759,-5.3,59,6.3,3071,6.3
16021,0,10,70,0,2023,A,,"Boundary County, Idaho",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,570,3918,186892649,103698607,760094,917,47697,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,17,3.1,39,1.0,7571588,4.2,4048278,4.1,-155459,-17.0,28,3.1,1466,3.2
17123,0,10,70,0,2023,A,,"Marshall County, Illinois",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,254,2820,131145721,33825042,918542,894,46506,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,-7,-2.7,13,0.5,9419485,7.7,1348649,4.2,121258,15.2,60,7.2,3141,7.2
29101,0,10,70,0,2023,A,,"Johnson County, Missouri",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,1286,16015,718236081,125068386,1611066,862,44847,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,58,4.7,326,2.1,40552694,6.0,200972,0.2,80059,5.2,31,3.7,1653,3.8
34019,0,10,70,0,2023,A,,"Hunterdon County, New Jersey",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,4057,45921,3330316760,1346731407,25980477,1395,72523,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,-15,-0.4,1354,3.0,124365015,3.9,73656271,5.8,4403835,20.4,12,0.9,587,0.8
54079,0,10,70,0,2023,A,,"Putnam County, West Virginia",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,1755,20386,1244403270,209586542,5868904,1174,61044,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,182,11.6,-24,-0.1,23638970,1.9,-9614790,-4.4,-968211,-14.2,24,2.1,1231,2.1
16051,0,10,70,0,2023,A,,"Jefferson County, Idaho",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,1068,7805,327003989,214747553,1289513,806,41895,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,87,8.9,-53,-0.7,1877879,0.6,-1857783,-0.9,-4241,-0.3,10,1.3,521,1.3
