FOB,Region,Regulating Agency,Water System No,Water System Name,Principal County Served,"Principal County Served, State",Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 16 - CENTRAL,CA1900045,1000 TRAILS / SOLEDAD CANYON PRESERVE,LOS ANGELES,"LOS ANGELES, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,800,800,0,NULL,0,0,1,1,N1,Transient Non-Community Water System,6/12/2024,ACTON,T3,Treatment Operator Level 3,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA58 - NAPA COUNTY,CA2800014,11:11 WINERY,NAPA,"NAPA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,6/1/2021,NAPA,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA69 - SAN JOAQUIN COUNTY,CA3901031,132 INVESTMENTS WATER SYSTEM,SAN JOAQUIN,"SAN JOAQUIN, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,187,NULL,65,252,0,NULL,3,0,90,93,SC,Small Community,9/2/2022,VERNALIS,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA70 - SAN LUIS OBISPO COUNTY,CA4000725,141 SUBURBAN ROAD WATER SUPPLY,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,NULL,25,0,NULL,0,0,1,1,NULL,,9/27/2023,SAN LUIS OBISPO,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 19 - TEHACHAPI,CA1503684,148 EAST WATER SYSTEM,KERN,"KERN, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,36,NULL,NULL,36,0,NULL,0,0,14,14,SC,Small Community,4/24/2024,INYOKERN,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA46 - KINGS COUNTY,CA1600293,15TH AVENUE,KINGS,"KINGS, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,50,NULL,NULL,50,0,NULL,0,1,2,3,SC,Small Community,9/12/2019,LEMOORE,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0900669,2218 LAKE TAHOE BLVD LLC,EL DORADO,"EL DORADO, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,15,1,16,NULL,NULL,3,NULL,2,5,NULL,,5/9/2013,SOUTH LAKE TAHOE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0901281,30 MILESTONE TRACT #1,EL DORADO,"EL DORADO, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,SW,Surface Water,24,NULL,NULL,24,NULL,NULL,NULL,NULL,14,14,XS,State Small Water System,10/9/2007,POLLOCK PINES,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0901282,30 MILESTONE TRACT #2,EL DORADO,"EL DORADO, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,SW,Surface Water,NULL,20,NULL,20,NULL,NULL,NULL,NULL,14,14,XS,State Small Water System,10/9/2007,POLLOCK PINES,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 05 - MONTEREY,CA3500557,33RD DISTRICT AGRICULTURAL ASSOCIATION,SAN BENITO,"SAN BENITO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,S,State Government,GW,Groundwater,NULL,NULL,9000,9000,0,NULL,72,0,0,72,N1,Transient Non-Community Water System,8/9/2019,TRES PINOS,NULL,,NR,Not Required
